# time	x	v

107.44853	8267.70820151373	97.74710598019391
107.54853	8277.500058063612	98.09088445751912
107.64853	8287.326551589103	98.43985848118598
107.74853	8297.188205561057	98.79410657182206
107.84853	8307.085551361572	99.15370843674225
107.94853	8317.019128403557	99.51874498788327
108.04853	8326.98948425211	99.88929836000912
108.078115	8329.946368444182	99.99999714842578
108.178115	8339.935878651582	99.79031184220376
108.278115	8349.904451749728	99.58125464925942
108.378115	8359.852150455821	99.3728236880766
108.478115	8369.7790372992	99.16501708277522
108.578115	8379.685174621893	98.95783296309446
108.678115	8389.57062457918	98.75126946437584
108.778115	8399.43544914016	98.54532472754646
108.878115	8409.279710088298	98.33999689910232
108.978115	8419.10346902199	98.13528413109155
109.078115	8428.906787355112	97.93118458109788
109.178115	8438.689726317576	97.72769641222398
109.278115	8448.452346955877	97.52481779307494
109.378115	8458.194710133646	97.32254689774184
109.478115	8467.9168765322	97.12088190578525
109.578115	8477.618906651078	96.91982100221888
109.678115	8487.3008608086	96.71936237749324
109.778115	8496.962799142397	96.51950422747935
109.878115	8506.604781609958	96.32024475345251
109.978115	8516.226867989171	96.12158216207612
110.078115	8525.829117878859	95.92351466538551
110.178115	8535.411590699314	95.72604048077187
110.278115	8544.974345692835	95.52915783096621
110.378115	8554.517441924265	95.33286494402336
110.478115	8564.04093828151	95.13716005330599
110.578115	8573.544893476084	94.94204139746878
110.678115	8583.029366043627	94.74750722044251
110.778115	8592.494414344435	94.55355577141827
110.878115	8601.940096563987	94.3601853048317
110.978115	8611.366470713467	94.16739408034731
111.078115	8620.773594630286	93.97518036284276
111.178115	8630.1615259786	93.78354242239332
111.278115	8639.530322249837	93.59247853425623
111.378115	8648.880040763204	93.40198697885519
111.478115	8658.210738666214	93.21206604176493
111.578115	8667.522472935187	93.02271401369572
111.678115	8676.815300375776	92.83392919047803
111.778115	8686.08927762347	92.6457098730472
111.878115	8695.344461144108	92.45805436742808
111.978115	8704.580907234382	92.27096098471985
112.078115	8713.798672022349	92.08442804108081
112.178115	8722.997811467936	91.89845385771322
112.278115	8732.178381363437	91.71303676084815
112.378115	8741.340437334025	91.52817508173051
112.478115	8750.484034838246	91.3438671566039
112.578115	8759.609229168516	91.16011132669578
112.678115	8768.716075451628	90.97690593820244
112.778115	8777.804628649239	90.79424934227413
